id,severity,confidence,category,finding,evidence,impact,required_fix,required_tests,status,implementing_sha,assigned_wave,notes
FP-088,P1,CONFIRMED,Performance evidence,RB-PERF-01 marked PASS despite explicitly unmeasured multi-thousand-line live report,acceptance matrix,Verification process overstates readiness,Set PARTIAL/FAIL until target corpus/device benchmark passes,Matrix generation must reject self-contradictory evidence text,OPEN,,7-api-mobile,
FP-089,P1,CONFIRMED,Auth,Deleted-account check is inconsistent across endpoints,"api/app.ts some !a||a.deleted, many !a only",Post-delete reads/actions behave inconsistently; relies on downstream guards,Centralize auth to reject deleted identity by default; explicit reconciliation-only exceptions server-internal,Deleted token cannot access events/library/report/settings/cost/cancel,OPEN,,7-api-mobile,
FP-090,P1,CONFIRMED,API validation,Several V8 endpoints use raw TS casts rather than strict schemas,"continue, assumptions, query approval, follow-up pre-routing, events after",Malformed/oversize/unknown fields can alter behavior or produce 500s,Zod strict schemas + length/enums/normalization,"Fuzz unknown fields, huge strings/arrays, invalid unicode/numbers",OPEN,,7-api-mobile,
FP-091,P2,CONFIRMED,API pagination,events after query is Number() without safe nonnegative validation,GET events,NaN/negative/huge values may create surprising query behavior,Strict integer cursor schema; server max page size/pagination,after=-1/NaN/1e100,OPEN,,7-api-mobile,
FP-092,P1,CONFIRMED,Run idempotency,Server creates random idempotency key if /runs header omitted,POST /v1/runs,Network retry by non-mobile client can create duplicate paid run,Require idempotency key for controlled-research (and ideally all non-fixture admissions),Missing header => 400; replay exact => reuse; changed payload => conflict,OPEN,,7-api-mobile,
FP-093,P1,CONFIRMED,Query approval idempotency,Repeated approval can create multiple approved rows,approve endpoint + schema,Duplicate state/audit noise and ambiguous latest permission,Idempotent transition using pending ID unique state,Approve twice same request returns reused,OPEN,,7-api-mobile,
FP-094,P2,HIGH,Follow-up semantics,routeFollowUp explain can return classification without producing an answer,/follow-up,User asks 'Why not Dell?' and may get no actual response,"Implement actual evidence-grounded explanation path, or client should route to research/answer service",Live explanation yields user-visible answer without brief mutation,OPEN,,7-api-mobile,
FP-095,P2,CONFIRMED,Follow-up semantics,follow-up routing passes reportReady true unconditionally in API path,/follow-up routing,Failed/no-report run message can be misclassified as report follow-up,Derive from owned current report presence/version,No report => no explain-about-report route,OPEN,,7-api-mobile,
FP-096,P1,CONFIRMED,DB invariants,model_portfolio_resolutions has no FKs to run/account,migration 042,Audit rows can orphan/mismatch identity if code bug; manual deletion required,"Add FKs where compatible, plus ownership integrity/immutable trigger",Insert foreign/mismatched resolution rejected,OPEN,,8-db-evidence,
FP-097,P1,CONFIRMED,DB invariants,research_briefs duplicated original/revision semantics lack DB consistency guard,schema + app bug,Already caused divergence,Trigger/check/canonical serializer; immutable original column,Payload/column divergence rejected,OPEN,,8-db-evidence,
FP-098,P2,CONFIRMED,DB invariants,retrieval state strings/outcomes lack CHECK constraints in 043,"query_authorizations, reconciliation, relation/class fields",Impossible rows possible under bugs,Add CHECK enums and state consistency for security-relevant rows,Invalid kind/outcome/relation insert rejected,OPEN,,8-db-evidence,
FP-099,P2,CONFIRMED,DB performance,Several newer tables have owner indexes but limited state/digest lookup indexes,migrations 030-043,Large histories may make pending/auth/coverage lookups slower,EXPLAIN hot queries; add composite indexes based on measured plans,Perf regression with many runs/query authorizations,OPEN,,8-db-evidence,
FP-100,P2,CONFIRMED,DB arrays,Several provenance tables store uuid[] without FK-enforced element integrity,coverage/calculation plan tables,Tampered/malformed references rely on restore code only,Restore checks are good; optionally normalize or add trigger if risk warrants; keep tests,Tamper arrays must fail restoration (already partly covered),OPEN,,8-db-evidence,
FP-101,P0,CONFIRMED,Acceptance evidence,Acceptance matrix contains PASS rows contradicted by current code/evidence,35_ACCEPTANCE_MATRIX.csv,Can falsely authorize merge/Research Beta,Regenerate matrix only after fix pass from machine-readable evidence; no self-certified PASS from helper existence,Gate script validates evidence class and current SHA,OPEN,,8-db-evidence,
FP-102,P0,CONFIRMED,Acceptance evidence,RB-INTENT-01 immutable originalQuestion PASS is false,matrix vs /continue,Readiness lie,Mark FAIL until FP-001/002 fixed,Test exact original survives clarification,OPEN,,8-db-evidence,
FP-103,P0,CONFIRMED,Acceptance evidence,RB-REC-01 semantic reconciliation PASS is false,matrix vs reconciliation.ts lexical algorithm,Readiness lie,Mark FAIL until semantic reconciliation wired,Adversarial semantic reconciliation,OPEN,,8-db-evidence,
FP-104,P0,CONFIRMED,Acceptance evidence,RB-CAND-01 persisted candidate completeness PASS is false,matrix vs unused helper,Readiness lie,Mark FAIL until production/persistence,Production candidate ledger evidence,OPEN,,8-db-evidence,
FP-105,P0,CONFIRMED,Acceptance evidence,RB-EVIDENCE-01 durable Evidence Needs PASS is false,matrix vs pure transient helper,Readiness lie,Mark FAIL/PARTIAL,Crash/restart persistence,OPEN,,8-db-evidence,
FP-106,P0,CONFIRMED,Acceptance evidence,RB-FALSIFY-01 per-conclusion falsification PASS is false,matrix vs unused helper/run-level challenge,Readiness lie,Mark FAIL/PARTIAL,Per-conclusion durable challenge,OPEN,,8-db-evidence,
FP-107,P0,CONFIRMED,Acceptance evidence,RB-SOURCEPOL-01 direct URL path PASS is false/incomplete,matrix vs source policy only; worker doesn't fetch user URL,Readiness lie,Mark PARTIAL until actual ingestion,Direct URL live/fixture path,OPEN,,8-db-evidence,
FP-108,P0,CONFIRMED,Acceptance evidence,RB-SEARCH-01 8-result live deep search is false on Azure path,matrix vs Azure v2 maxResults 3,Readiness lie,Fix Azure v3 then rerun live,Provider body audit,OPEN,,8-db-evidence,
FP-109,P0,CONFIRMED,Acceptance evidence,RB-PERF-01 PASS is unsupported,matrix explicitly says multi-thousand live report not measured,Readiness lie,Mark PARTIAL until benchmark,Long report device metrics,OPEN,,8-db-evidence,
FP-110,P0,CONFIRMED,Acceptance evidence,RB-API-01 typed activity PASS is not fully wired to mobile,matrix vs mobile legacy event state,Safety/truth contract not authoritative,Mark PARTIAL until mobile consumes DTO,API/mobile contract test,OPEN,,8-db-evidence,
FP-111,P0,CONFIRMED,Acceptance evidence,RB-NATIVE-02 PASS despite send control occluded by IME,matrix/status,Core interaction broken on tested device,Treat as FAIL/PARTIAL until fixed,Physical device,OPEN,,8-db-evidence,
FP-112,P1,CONFIRMED,Test design,Clarification test rewards rewritten question indirectly by requiring report contain geography,p3-remaining clarification tests,Can normalize invariant-breaking implementation,Assert original unchanged + constraints separately + report uses constraint,Regression test architecture not symptom,OPEN,,8-db-evidence,
FP-113,P1,CONFIRMED,Test design,"Assumption endpoint test only checks mutation visible, not revision/report invalidation",p3-remaining,Encodes dangerous in-place mutation as success,Rewrite test for semantic versioning,Old report vs new assumption,OPEN,,8-db-evidence,
FP-114,P1,CONFIRMED,Test design,History of live salvage repeatedly weakened fail-closed gates before later repairs,STATUS/commit history,High recurrence risk,Audit every assertion changed in salvage commits; require two-reviewer/root-cause mapping in fix pass,Full PG twice; mutation tests around support/coverage,OPEN,,8-db-evidence,
FP-115,P0,CONFIRMED,Current verification,Full PG remains red at reviewed checkpoint; latest 906 has only focused retest evidence,STATUS / integration-int9 473/7 and 906 message,Cannot merge or declare Beta,Fix root causes and run complete suite on fresh DB twice,480/480 twice at exact final SHA,FIXED,d88cf6265303149ba002c224af57f9e6a466c2cc,8-db-evidence,int13+int14 505/505 at d88cf62; still not Research Beta / not merge to main
FP-116,P1,CONFIRMED,Current verification,Calculated-report cases remain red,906 STATUS focused retest,Arithmetic path incomplete,"Root-cause fix, no expectation weakening",Calculated writer variants + parent/child correction,OPEN,,8-db-evidence,
FP-117,P2,CONFIRMED,CI,Hosted GitHub Actions is owner-declined/billing blocked,matrix/status,No hosted oracle,Keep explicit external blocker; don't fake PASS,Local reproducible CI command + future hosted when available,OPEN,,8-db-evidence,
FP-118,P2,CONFIRMED,Requested verification,Refresh path invokes normal brief task generation for a claim-only verification,requested-verification worker ensureResearchTask,Extra model cost and possible task drift unrelated to selected claim,"Use frozen target task/question keys directly for selected-source reread, or minimal scoped context",Refresh source verification issues only necessary model operations,OPEN,,8-db-evidence,
FP-119,P2,HIGH,Verification settlement,"Failure helper passes settleRun(...,0); rely on ledger recomputation/mismatch semantics carefully",requested-verification fail,Potential mismatch if known confirmed call exists before later deterministic failure,Pass actual run spend or have settleRun derive internally with no caller total argument,Failure after confirmed model call settles exact confirmed cost,OPEN,,8-db-evidence,
FP-120,P2,CONFIRMED,Verification source summary,Targeted verification report sourceAccessSummary omits originCluster,requested-verification report construction,Evidence UI loses independence metadata on verification children,Populate same source metadata contract as normal reports,Verification source sheet parity,OPEN,,8-db-evidence,
FP-121,P2,CONFIRMED,Library/history,No server-side pagination/search,listLibrary + mobile FlatList,Large history loads everything,Paginated cursor + server search,10k records,OPEN,,8-db-evidence,
FP-122,P2,CONFIRMED,Report navigation,Current long-report TOC evidence is fixture-only and long performance unmeasured,matrix/VISUAL_QA,Competition-level long report not proven,Keep for UI phase after engineering but mark gate partial,Real 100-block report device test,OPEN,,8-db-evidence,
FP-123,P3,CONFIRMED,Code organization,App.tsx still ~1659 lines despite extractions,apps/mobile/App.tsx,High coupling/risk for next UI rewrite,"Continue controller/screen extraction during UI phase, not before correctness fixes",No behavior change,OPEN,,8-db-evidence,
FP-124,P3,CONFIRMED,Code organization,Multiple legacy controller/research-core paths coexist with structured worker,research-core controller/loop vs structured production,Maintenance confusion and accidental wrong-path edits,Document active path; isolate/remove dead legacy after Beta,Boundary test active imports,OPEN,,8-db-evidence,
FP-125,P3,HIGH,Telemetry,No single durable run-level summary of queries/sources/independent origins/model routes/repair counts,scattered tables/events,Hard to measure cost per useful answer and debug,"Add internal observability projection, no private text",Run metrics invariant tests,OPEN,,8-db-evidence,
FP-126,P3,CONFIRMED,Docs/evidence,STATUS/HANDOFF/matrix lag quickly behind code during long autonomous run,current history,Humans can act on stale claims,Generate checkpoint evidence from exact SHA where possible,Doc linter checks current SHA/test artifact linkage,OPEN,,8-db-evidence,
